,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,stimulus_type,task,trial_color,trial_direction,trial_orientation,trial_position_x,trial_position_y,trial_type
156,80.0,75.0,70.0,135.0,f,1.0,0.83345639508695513,1.0,3.0,1.0,6.6654757523550003,1.0,1.7013781089269999,0.0,0.0,0.0
157,80.0,75.0,70.0,135.0,s,0.0,0.61682161994508533,-1.0,1.0,1.0,1.6663689380887501,1.0,-0.85068905446349996,0.0,0.0,1.0
158,-80.0,75.0,70.0,135.0,s,0.0,1.2916726059404482,-1.0,2.0,1.0,-13.330951504710001,1.0,4.8610803112200003,0.0,0.0,0.0
159,80.0,75.0,70.0,45.0,l,1.0,0.40850848014270014,1.0,0.0,2.0,13.330951504710001,1.0,3.4270616194100998,0.0,0.0,1.0
160,-80.0,75.0,70.0,135.0,s,1.0,0.50839889341352773,-1.0,0.0,1.0,-6.6654757523550003,-1.0,4.8610803112200003,0.0,0.0,0.0
161,-80.0,75.0,70.0,45.0,s,1.0,1.5250578437755848,-1.0,3.0,1.0,-13.330951504710001,-1.0,1.7013781089269999,0.0,0.0,0.0
162,80.0,75.0,70.0,45.0,l,1.0,2.0084225554803652,1.0,2.0,2.0,6.6654757523550003,1.0,1.2152700778050001,0.0,0.0,0.0
163,80.0,75.0,70.0,45.0,j,0.0,1.0084801426794456,-1.0,3.0,2.0,6.6654757523550003,1.0,2.4305401556100001,0.0,0.0,0.0
164,80.0,75.0,70.0,45.0,s,0.0,0.76676956339781555,-1.0,1.0,1.0,9.3983208108205503,1.0,-1.2152700778050001,0.0,0.0,0.0
165,-80.0,75.0,70.0,45.0,l,1.0,0.85014784515544761,1.0,2.0,2.0,-2.3329165133242498,1.0,3.4270616194100998,0.0,0.0,1.0
166,80.0,75.0,70.0,135.0,s,1.0,0.75847586640225018,-1.0,1.0,1.0,26.661903009420001,-1.0,-4.8610803112200003,0.0,0.0,1.0
167,-80.0,75.0,70.0,135.0,j,1.0,0.42510642228398865,-1.0,0.0,2.0,-4.6658330266484995,-1.0,2.4305401556100001,0.0,0.0,0.0
168,-80.0,75.0,70.0,45.0,j,0.0,0.43347452650209561,-1.0,2.0,2.0,-4.6658330266484995,1.0,1.2152700778050001,0.0,0.0,1.0
169,-80.0,75.0,70.0,135.0,l,1.0,0.51679208512405239,1.0,0.0,2.0,-13.330951504710001,1.0,-4.8610803112200003,0.0,0.0,0.0
170,-80.0,75.0,70.0,135.0,j,1.0,0.32509741359353939,-1.0,3.0,2.0,-1.6663689380887501,-1.0,4.8610803112200003,0.0,0.0,1.0
171,80.0,75.0,70.0,45.0,s,0.0,0.49177728920517438,-1.0,0.0,1.0,1.6663689380887501,1.0,-4.8610803112200003,0.0,0.0,1.0
172,80.0,75.0,70.0,45.0,f,1.0,1.2250658831767396,1.0,0.0,1.0,6.6654757523550003,1.0,-0.85068905446349996,0.0,0.0,1.0
173,80.0,75.0,70.0,45.0,s,0.0,0.87511075557836193,-1.0,0.0,2.0,9.3983208108205503,1.0,0.85068905446349996,0.0,0.0,1.0
174,80.0,75.0,70.0,135.0,j,1.0,0.90842580545108831,-1.0,1.0,2.0,1.6663689380887501,-1.0,6.8784286403763009,0.0,0.0,1.0
175,80.0,75.0,70.0,45.0,s,0.0,0.9250981548150321,-1.0,0.0,1.0,18.863296379164652,1.0,1.2152700778050001,0.0,0.0,1.0
176,80.0,75.0,70.0,45.0,s,0.0,0.70841577045393933,-1.0,0.0,1.0,4.6658330266484995,1.0,1.7013781089269999,0.0,0.0,1.0
177,-80.0,75.0,70.0,45.0,s,0.0,0.683420930495231,-1.0,2.0,1.0,-4.6658330266484995,1.0,0.85068905446349996,0.0,0.0,1.0
178,-80.0,75.0,70.0,135.0,s,0.0,1.1001156305342192,-1.0,3.0,1.0,-3.3327378761775002,1.0,0.85068905446349996,0.0,0.0,1.0
179,80.0,75.0,70.0,45.0,s,1.0,1.2084063626443822,-1.0,1.0,1.0,3.3327378761775002,-1.0,-3.4270616194100998,0.0,0.0,0.0
180,80.0,75.0,70.0,135.0,l,1.0,0.35844581842820844,1.0,1.0,2.0,3.3327378761775002,1.0,-6.8784286403763009,0.0,0.0,1.0
181,-80.0,75.0,70.0,45.0,j,1.0,0.6084418272359926,-1.0,2.0,2.0,-9.3983208108205503,-1.0,-3.4270616194100998,0.0,0.0,1.0
182,-80.0,75.0,70.0,45.0,s,1.0,0.4751063652670382,-1.0,2.0,1.0,-2.3329165133242498,-1.0,-3.4270616194100998,0.0,0.0,1.0
183,-80.0,75.0,70.0,45.0,s,0.0,1.5333991499901458,-1.0,0.0,1.0,-9.3983208108205503,1.0,4.8610803112200003,0.0,0.0,0.0
184,80.0,75.0,70.0,45.0,j,1.0,0.51669458600508733,-1.0,2.0,2.0,9.3983208108205503,-1.0,-1.7013781089269999,0.0,0.0,0.0
185,80.0,75.0,70.0,135.0,l,1.0,1.1000506311213485,1.0,1.0,2.0,1.6663689380887501,1.0,-1.2152700778050001,0.0,0.0,1.0
186,80.0,75.0,70.0,45.0,j,0.0,0.54175642097266064,-1.0,1.0,1.0,6.6654757523550003,-1.0,-3.4270616194100998,0.0,0.0,0.0
187,80.0,75.0,70.0,45.0,l,1.0,0.49181206959292467,1.0,1.0,2.0,4.6658330266484995,1.0,1.2152700778050001,0.0,0.0,0.0
188,-80.0,75.0,70.0,45.0,l,1.0,0.41676169504785321,1.0,2.0,2.0,-26.661903009420001,1.0,3.4270616194100998,0.0,0.0,1.0
